Year,Age,Sex,Immigrations,Emigrations,Migration_balance,MaleBirths,FemaleBirths,TotalBirths,Deaths,Population,GDP_per_capita,Health_expenditure_pct_GDP,Unemployment
1957,39,Male,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,,,
1957,40,Female,0.0,0.0,0.0,0.0,0.0,0.0,772.0,0.0,,,
1957,40,Male,0.0,0.0,0.0,0.0,0.0,0.0,658.0,0.0,,,
1957,41,Female,0.0,0.0,0.0,0.0,0.0,0.0,938.0,0.0,,,
1957,41,Male,0.0,0.0,0.0,0.0,0.0,0.0,852.0,0.0,,,
1957,42,Female,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,0.0,,,
1957,42,Male,0.0,0.0,0.0,0.0,0.0,0.0,1326.0,0.0,,,
1957,43,Female,0.0,0.0,0.0,0.0,0.0,0.0,1656.0,0.0,,,
1957,43,Male,0.0,0.0,0.0,0.0,0.0,0.0,1531.0,0.0,,,
1957,44,Female,0.0,0.0,0.0,0.0,0.0,0.0,1727.0,0.0,,,
1957,44,Male,0.0,0.0,0.0,0.0,0.0,0.0,1777.0,0.0,,,
1957,45,Female,0.0,0.0,0.0,0.0,0.0,0.0,1979.0,0.0,,,
1957,45,Male,0.0,0.0,0.0,0.0,0.0,0.0,2099.0,0.0,,,
1957,46,Female,0.0,0.0,0.0,0.0,0.0,0.0,2044.0,0.0,,,
1957,46,Male,0.0,0.0,0.0,0.0,0.0,0.0,2231.0,0.0,,,
1957,47,Female,0.0,0.0,0.0,0.0,0.0,0.0,2275.0,0.0,,,
1957,47,Male,0.0,0.0,0.0,0.0,0.0,0.0,2650.0,0.0,,,
1957,48,Female,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,0.0,,,
1957,48,Male,0.0,0.0,0.0,0.0,0.0,0.0,2965.0,0.0,,,
1957,49,Female,0.0,0.0,0.0,0.0,0.0,0.0,2742.0,0.0,,,
1957,49,Male,0.0,0.0,0.0,0.0,0.0,0.0,3293.0,0.0,,,
1957,50,Female,0.0,0.0,0.0,0.0,0.0,0.0,2895.0,0.0,,,
1957,50,Male,0.0,0.0,0.0,0.0,0.0,0.0,3827.0,0.0,,,
1957,51,Female,0.0,0.0,0.0,0.0,0.0,0.0,3145.0,0.0,,,
1957,51,Male,0.0,0.0,0.0,0.0,0.0,0.0,4274.0,0.0,,,
1957,52,Female,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,0.0,,,
1957,52,Male,0.0,0.0,0.0,0.0,0.0,0.0,4766.0,0.0,,,
1957,53,Female,0.0,0.0,0.0,0.0,0.0,0.0,3515.0,0.0,,,
1957,53,Male,0.0,0.0,0.0,0.0,0.0,0.0,5235.0,0.0,,,
1957,54,Female,0.0,0.0,0.0,0.0,0.0,0.0,3809.0,0.0,,,
